slug,name,cjk,brand,country,market,strength,flavour,format,filterType,lengthMm,tarMg,nicotineMg,packSize,priceUsd,year,summary,verdict,pros,cons
this-plus-1mg,This Plus 1mg,디스플러스,This Plus,South Korea,South Korea,Ultra light,Regular,King size,Filtered,84,1,0.1,20,3.4,1996,"One milligram of tar, and about one milligram of reason to smoke it.","At 1mg the ventilation holes are doing almost all of the work, and what reaches you is warm air with a suggestion of tobacco behind it. Construction is fine and the pack is handsome, but the product does not deliver anything to review.

Smokers we spoke to compensate by drawing harder and smoking more, which defeats the entire premise.",Well-built for the price | No harshness whatsoever,"Effectively flavourless | Ventilation encourages harder, more frequent draws | Filter collapses if drawn hard"
raison-black,Raison Black,레종,Raison,South Korea,South Korea,Full,Regular,King size,Filtered,84,8,0.7,20,3.6,2001,"Korea's answer to a full-flavour American blend, at about two-thirds the intensity.","Raison Black is marketed as the strong option in a market that mostly does not want one, and the result is a cigarette that reads as medium anywhere else. The blend is competent and slightly toasty with a dry finish.

It is a perfectly good cigarette that struggles to justify choosing it over Mevius at the same price.","Dry, toasty finish | Consistent build | Handsome matte pack",Not actually strong despite the positioning | Little to distinguish it from cheaper rivals
555-state-express,555 State Express,三五,State Express,United Kingdom,Asia-Pacific,Medium,Regular,King size,Filtered,84,12,1,20,5.2,1895,"A London brand that became an Asian institution, and the best straight Virginia blend here.","555 is nominally British and effectively Asian — it has been the gift cigarette across Southeast Asia for fifty years. The blend is a clean, bright Virginia with a bready mid-palate and none of the casing sweetness that defines the Chinese houses.

It is the cigarette to hand someone who says all cigarettes taste the same.",Clean unsweetened Virginia character | Bready mid-palate develops as it burns | Gold pack is the most recognisable object in the catalogue,"Priced as a gift item, not a daily smoke | Regional blend variation is significant"
dunhill-international-red,Dunhill International Red,,Dunhill,United Kingdom,International,Full,Regular,100s,Filtered,100,12,1,20,7.4,1907,"The luxury full-flavour benchmark, and still the smoothest 12mg on the shelf.","Dunhill International earns its premium on smoothness rather than power. The tobacco is visibly better graded than anything at half the price, and the 100mm length gives the blend room to develop a dark, leathery finish that a king size cuts short.

The pack is over-designed and the price is steep, but the cigarette inside is genuinely a tier above.","Noticeably higher leaf grade | 100mm length lets the blend develop | Dark, leathery finish",Expensive in every market | Heavy pack design feels dated
benson-hedges-gold,Benson & Hedges Gold,,Benson & Hedges,United Kingdom,United Kingdom,Medium,Regular,King size,Filtered,84,10,0.8,20,6.8,1873,"The British default. Unexciting, entirely reliable, and priced by the Treasury.","B&H Gold is the cigarette a generation of British smokers bought without thinking about it, and it holds up: a soft, mildly sweet Virginia with a short clean finish and no rough edges anywhere.

What you are paying for is mostly duty. The cigarette itself is a solid seven.",Completely predictable pack to pack | Soft finish with no harshness | Ubiquitous in its home market,UK duty makes it poor value | Blend is deliberately unmemorable
silk-cut-purple,Silk Cut Purple,,Silk Cut,United Kingdom,United Kingdom,Light,Regular,King size,Filtered,84,6,0.5,20,6.6,1964,The brand that made low tar a design statement. The design has aged better than the smoke.,"Silk Cut Purple is heavily ventilated and tastes it — the smoke is thin and cool with a faint paper note that becomes the dominant flavour in the last third.

The blend is clean and the construction is fine. There simply is not much there.","Very cool smoke | Clean, no harshness | Iconic pack design",Paper note dominates the final third | Thin body even for a 6mg | Poor value at UK prices
rothmans-king-size-blue,Rothmans King Size Blue,,Rothmans,United Kingdom,Europe,Medium,Regular,King size,Filtered,84,9,0.7,20,4.9,1890,"The value end of the British houses — competent, plain, and honest about it.","Rothmans Blue is what happens when a heritage brand is repositioned as a budget line. The blend is thinner than the name suggests but perfectly clean, and construction has held up better than we expected across four packs.

As a cheaper alternative to B&H it makes sense. As a Rothmans it is a shadow.",Clean burn with no tunnelling | Meaningfully cheaper than its shelf neighbours | Consistent pack to pack,Thin body | Trades entirely on a name it no longer earns
marlboro-red,Marlboro Red,,Marlboro,United States,International,Full,Regular,King size,Filtered,84,10,0.8,20,8.2,1924,"The most recognisable cigarette on earth, and a genuinely well-made American blend.","It is easy to be dismissive about Marlboro Red and wrong to be. The American blend — Virginia, burley and Oriental with a cocoa-toned casing — is well balanced, the toasted mid-palate is distinctive, and the manufacturing tolerance is as tight as anything from Japan.

Where it loses ground is price and sameness: it tastes identical in forty countries, which is the point and also the limitation.",Tight manufacturing tolerance worldwide | Balanced American blend with a real toasted note | Available almost anywhere,Premium price in nearly every market | Deliberately identical everywhere — no character of place
marlboro-gold,Marlboro Gold,,Marlboro,United States,International,Light,Regular,King size,Filtered,84,6,0.5,20,8.2,1972,"The Red blend behind a ventilated filter. Cleaner, and correspondingly less interesting.","Gold keeps the cocoa casing and loses the body. It is smooth, entirely inoffensive and very widely bought, and the toasted note that makes Red worth reviewing is barely detectable here.

Good construction, no surprises, same premium price.",Very smooth | Same build quality as Red | Globally available,"Casing survives, body does not | Priced identically to the better Red"
camel-filters,Camel Filters,,Camel,United States,International,Full,Regular,King size,Filtered,84,10,0.8,20,7.6,1913,"The original American blend, and still the one with the most Turkish leaf in it.","Camel is the more interesting of the two American giants. The Turkish component gives the smoke an unmistakable slightly sour, resinous edge that no competitor has tried to copy in a century, and it develops rather than flattening as the stick burns.

It divides people, which is exactly what we want from a review subject.",Distinctive Turkish resinous note | Blend develops through the stick | Genuinely different from every other mass-market blend,Sour edge is polarising | Room odour is heavier than the tar rating suggests
lucky-strike-original-red,Lucky Strike Original Red,,Lucky Strike,United States,International,Full,Regular,King size,Unfiltered,70,24,1.5,20,7,1871,"Unfiltered toasted Virginia. Exactly as blunt as that sounds, and better made than it needs to be.","The unfiltered Lucky is a period piece that still works. Toasting the Virginia leaf gives a bright, almost caramelised smoke with none of the burley heaviness of a filtered American blend, and the paper is good enough that it burns straight without help.

At 24mg unfiltered this is the second heaviest thing in the catalogue and we are not pretending otherwise.",Bright caramelised Virginia character | Burns straight with no run-off | Historically the blend it always was,24mg unfiltered — severe | Loose tobacco on the tongue | Very short at 70mm
american-spirit-yellow,Natural American Spirit Yellow,,American Spirit,United States,United States,Medium,Regular,King size,Filtered,84,11,0.9,20,9.8,1982,"Additive-free, densely packed, and slower-burning than anything else here — for better and worse.","American Spirit packs roughly a third more tobacco into the same paper, and the result is a stick that takes twice as long to smoke and tastes purely of leaf: no casing, no sweetness, just dry Virginia.

Additive-free does not mean safer, and the brand has been fined for implying otherwise. As a smoke, it is honest and unusually pure.","No casing — pure leaf character | Densely packed, very slow burn | Tight draw rewards patience","Most expensive cigarette in the catalogue | Draw is genuinely hard work | ""Additive-free"" implies a safety benefit that does not exist"
newport-menthol,Newport Menthol,,Newport,United States,United States,Full,Menthol,King size,Filtered,84,13,1.1,20,8.6,1957,"The heaviest menthol in the mainstream, and it does not pretend to be subtle.","Newport applies menthol with a shovel. The cooling effect is immediate and overwhelming, and behind it sits a genuinely full-flavour blend that you can only detect in the last third once the menthol has burned off.

It is very good at the one thing it does. Whether that thing is worth doing is a matter of taste.",Strongest cooling effect of any menthol tested | Full-bodied blend underneath | Consistent build,Menthol buries the tobacco entirely | Banned or restricted in a growing number of markets
parliament-aqua-blue,Parliament Aqua Blue,,Parliament,United States,International,Light,Regular,100s,Filtered,100,7,0.6,20,7.9,1931,"The recessed filter is a real engineering idea, not a gimmick — it keeps the smoke off the lip.","Parliament's recessed filter sets the paper back a few millimetres from the mouth, and the practical effect is that the draw stays dry and the smoke arrives cooler than the 7mg rating implies.

The blend is unremarkable. The filter is the reason to buy it, and it works.",Recessed filter genuinely cools the draw | Stays dry through the whole stick | 100mm length suits a slow smoke,Blend itself is forgettable | Recess traps debris if the pack is jostled
gauloises-blondes-blue,Gauloises Blondes Blue,,Gauloises,France,Europe,Medium,Regular,King size,Filtered,84,10,0.8,20,6.4,1984,"The blonde reinvention of a dark-tobacco legend. Pleasant, and much less interesting than what it replaced.","Blondes is a competent modern Virginia blend wearing a famous name. It is clean, faintly nutty and completely unlike the black tobacco Gauloises that built the brand.

Judged on its own it is a fair mid-market cigarette. Judged against the Brunes, it is a compromise.",Clean nutty profile | Reliable construction | Widely available in Europe,Bears no relation to the original blend | Little to distinguish it from any other blonde
gitanes-brunes,Gitanes Brunes,,Gitanes,France,Europe,Full,Regular,Shorts,Unfiltered,70,18,1.3,20,7.2,1910,"Dark air-cured tobacco, unfiltered, and the most distinctive smoke in this catalogue.","Gitanes Brunes tastes of something no other cigarette here approaches: a dense, earthy, almost cellar-like dark tobacco with a peppery finish that lingers for several minutes. It is a difficult cigarette and it is meant to be.

The dark-tobacco category is disappearing from European shelves, which makes this worth documenting while it exists.

We are scoring character. The intensity is not a recommendation.",Earthy dark-tobacco character with no equivalent in production | Long peppery finish | A genuine survivor of a vanishing category,Unfiltered at 18mg | Room odour is severe and persistent | Actively unpleasant to the uninitiated
davidoff-classic,Davidoff Classic,,Davidoff,Switzerland,International,Medium,Regular,King size,Filtered,84,9,0.8,20,7.8,1969,"Restrained, dry, and the most European cigarette in the premium bracket.","Davidoff Classic is the anti-Marlboro: no casing sweetness, no cocoa, just a dry, cedar-edged blend that stays cool and never raises its voice. The leaf quality is obvious and the burn line is the straightest we measured.

It asks for attention and rewards it, which is unusual at this level of the market.",Dry cedar note with no casing sweetness | Straightest burn line measured | Excellent leaf grading,Reserved to the point of austerity | Premium price without a premium pack
sobranie-black-russian,Sobranie Black Russian,,Sobranie,Russia,International,Full,Aromatic,King size,Filtered,84,12,1,20,9.2,1879,"Black paper, gold tip, and a blend that cannot quite live up to the presentation.","Black Russian is the most theatrical object in the catalogue and the black paper is not decoration — it burns differently, adding a faintly sweet, tarry note over a Turkish-leaning blend.

The problem is that the paper dominates. After three or four you are tasting stationery.","Genuinely striking object | Turkish blend has real character underneath | Black paper changes the smoke, not just the look",Paper note becomes overwhelming | Highest price-to-quality gap here | Burns unevenly more often than it should
karelia-slims,Karelia Slims,,Karelia,Greece,Europe,Light,Regular,Super slims,Filtered,100,5,0.4,20,4.8,1888,"Greek Oriental leaf in a slim format — light in body, surprisingly aromatic.","Karelia uses domestic Oriental tobacco, and the difference is immediately obvious: a spiced, slightly floral aroma that a slim format usually cannot carry. At 5mg it should be thin and it is not.

The best-value slim here by a clear margin.","Oriental leaf gives real aroma at 5mg | Best value in the slims category | Clean, even burn",Fast burn typical of the format | Limited availability outside Europe
djarum-black,Djarum Black,,Djarum,Indonesia,Southeast Asia,Full,Clove,King size,Filtered,84,20,1.4,12,5.4,1996,"The definitive kretek: clove, sweet paper, and a crackle you can hear across a room.","A kretek is a different product category wearing a cigarette's shape, and Djarum Black is the one to judge the category by. The clove is intense but balanced against the tobacco rather than covering it, the sweetened filter tip is genuinely pleasant, and the audible crackle is part of the experience.

At 20mg tar it is heavy, and clove's anaesthetic effect makes it easy to smoke more than you intended.",Best-balanced clove-to-tobacco ratio in the category | Sweetened tip is a real design touch | Unmistakable aroma and crackle,20mg tar | Clove numbs the throat and masks overconsumption | Restricted or banned in several markets
gudang-garam-international,Gudang Garam International,,Gudang Garam,Indonesia,Southeast Asia,Full,Clove,King size,Filtered,84,26,1.8,12,3.4,1958,"The heavyweight kretek. Enormous smoke, enormous numbers, and a devoted following.","Gudang Garam International is the strongest cigarette in this catalogue by tar and nicotine both, and it does not feel like an accident — the smoke is thick, sweet and resinous, with the clove sitting deeper in the blend than Djarum places it.

We ran a shortened protocol for exactly the reason the numbers suggest.","Enormous, resinous smoke volume | Clove integrated deep into the blend | Very cheap at source",26mg tar and 1.8mg nicotine — the heaviest here | Burns hot in the final third | Overwhelming for anyone new to kretek
sampoerna-a-mild,Sampoerna A Mild,,Sampoerna,Indonesia,Southeast Asia,Medium,Clove,King size,Filtered,84,14,1,16,2.9,1989,"The kretek made approachable, and the reason the light-clove category exists at all.","A Mild invented the low-tar kretek in 1989 and remains the best executed version of it. The clove is dialled back to a warm spice note rather than the main event, the smoke is far lighter than any traditional kretek, and it costs almost nothing at source.

If you want to understand kretek without committing to 26mg, start here.",Clove as spice rather than spectacle | Remarkable value | The most approachable kretek in production,"Traditionalists find it watered down | Still 14mg tar despite the ""mild"" name"
